rank,artist,spotify_id,listeners,daily_change_listeners,peak_listeners
3410,Cannons,7FtCyCJCJaxabYO7Uyda5B,"4,216,206","6,998","4,381,137"
3411,DJ ALEX,7FqHcUwnhxJZAgS3I6GFFL,"4,215,973","-33,869","5,311,649"
3412,Capo Plaza,5SulO4l40qDuV9zUGLZx7n,"4,213,760","1,550","5,835,486"
3413,3OH!3,0FWzNDaEu9jdgcYTbcOa4F,"4,211,719","28,349","4,467,849"
3414,Duckjay,7b5XefluHSHw1lKQkqIZO0,"4,210,140","3,996","4,486,705"
3415,Mc Pogba,2sQHo73pQF1OTq3lDuQhlO,"4,209,119","-12,622","8,729,896"
3416,Fort Minor,7dWYWUbO68rXJOcyA7SpJk,"4,207,850","4,793","4,422,724"
3417,Fyex,7i7ddOIQP0uI3ktGxI0zkM,"4,207,126","6,715","5,091,443"
3418,Judas Priest,2tRsMl4eGxwoNabM08Dm4I,"4,205,947","-1,877","5,264,615"
3419,Culture Beat,0BZ3BHzfYwpd3k5TDnvAz8,"4,205,673","-1,589","4,406,581"
3420,Alonzo,2z2TRvloJt4EfUNQp9rHAi,"4,205,100","-4,450","5,692,989"
3421,Rionegro & Solim̵es,33NrinbbEctw1wsdKNgZeZ,"4,204,118","-25,793","6,348,929"
3422,SAULT,1uRxRKC7d9zwYGSRflTKDR,"4,203,341","1,843","4,971,760"
3423,Stardust,2w7IutHv5g4e8LumrwtjWR,"4,202,181","53,659","5,764,162"
3424,Los Inquietos Del Norte,0pgvlX0BkfmeirXTDiNmya,"4,201,397","14,176","4,928,867"
3425,qaraqshy,32Pxa55IN0QAmFtzWcT2w9,"4,200,421","6,875","4,200,421"
3426,DJ CZ,52xstrfqEahsQREdysdsgr,"4,199,939","1,388","5,879,562"
3427,Aalaap Raju,6qcMtXmofIpnR9TBhgamMR,"4,199,134","-26,860","4,515,651"
3428,The La Planta,4oZolC0sCwCAKqsNXfRlVS,"4,198,510","-17,823","7,943,930"
3429,Maestro Chives,1HD6q5dxREv64GOc3H7vBs,"4,198,270","21,712","5,292,614"
3430,Ahmet Kaya,1Y2FwScblyMxpLTrNdfwyU,"4,197,406","-11,258","5,064,070"
3431,The Monkees,320EPCSEezHt1rtbfwH6Ck,"4,195,087","9,755","9,067,234"
3432,Jos̩ Feliciano,7K78lVZ8XzkjfRSI7570FF,"4,194,204","-5,976","50,586,080"
3433,Cakra Khan,6pZzHAdfBLIEkQVRUhB8ps,"4,193,915","-17,150","4,234,958"
3434,Joaquin Medina,6bpv92ES2Vcv2OKA3DAhgw,"4,192,711","-1,189","10,467,574"
3435,Brett Young,0fiWOxhsBsQQvFDtxUQWo0,"4,191,533",650,"6,662,926"
3436,Styx,4salDzkGmfycRqNUbyBphh,"4,191,201","12,748","5,095,657"
3437,Ray LaMontagne,6DoH7ywD5BcQvjloe9OcIj,"4,190,509","12,785","4,767,709"
3438,Roisee,5pCGvSxNNUcddlRrG0wsrY,"4,189,920","16,384","10,515,606"
3439,Abel Balder,0jqbEIAvdjUOi5Za48pzQG,"4,189,818","9,454","5,662,305"
3440,Thalles Roberto,2Js5EdWOVgL2B2CbtXr5n1,"4,188,036","-8,994","4,328,639"
3441,Theuzinho,5S7nhltEOIHhyXPETyKewy,"4,187,128","31,934","4,187,128"
3442,Shilpi Raj,12HVwm3qt6gOkKhDoj00m4,"4,186,557","-14,045","4,284,252"
3443,Hev Abi,4zpGxqF6oI1h3f6Md2v42T,"4,184,192","56,054","6,643,343"
3444,Skid Row,4opTS86dN9uO313J9CE8xg,"4,182,799","10,067","5,116,542"
3445,Egzod,3exvMmrLV6o4R42YnG3Id6,"4,176,903","18,711","5,482,214"
3446,1nonly,3ZHU5AKrUmIPnCFfr82QER,"4,175,899","-3,252","6,409,926"
3447,Gabby Barrett,6Iz3eq2aQGFf7TbGT2iahL,"4,174,441","12,616","6,271,572"
3448,Mikel Erentxun,7thnnayFyJnVOAJrpe5wMC,"4,172,795","15,026","4,946,953"
3449,Cole Swindell,1mfDfLsMxYcOOZkzBxvSVW,"4,170,523","29,984","8,270,647"
3450,Deepend,0uGApGjjFXKwUOAqYBeX7B,"4,170,390","-2,938","6,343,640"
3451,Tion Wayne,7b79bQFziJFedJb75k6hFt,"4,169,944",-406,"8,886,575"
3452,LeeHi,7cVZApDoQZpS447nHTsNqu,"4,165,146","-9,275","5,563,985"
3453,Krishh,52gcMUmJNB3Q6NG0jPWj0b,"4,164,429","-15,535","4,400,143"
3454,Sam Haft,3osxpNwDgRAPs3aZZNsdV8,"4,162,746","-10,666","5,713,638"
3455,MC RN do Cap̣o,0ktgQZv6VIj48TP9VupyFB,"4,162,149","7,030","4,162,149"
3456,Stan Getz,0FMucZsEnCxs5pqBjHjIc8,"4,161,353","-1,296","4,503,614"
3457,Shantanu Moitra,6hpDlOvqsnIxrPegGTWVY1,"4,160,035","-29,421","4,363,821"
3458,Alicia te quiero,36sT4wc9jtpjKsa4kXZhkS,"4,158,295","12,880","4,158,295"
3459,Luccas Carlos,5WFFFHVqeVk5tLuYh2KjQy,"4,157,960","1,872","4,913,189"
3460,KARBeats,3KdCAZSWpRrPO0GTPnzsYV,"4,157,610","26,596","4,157,610"
3461,Conor Maynard,6mU8ucezzms5I2kNH6HNlu,"4,157,412","7,504","6,804,973"
