artist_spotify_id,artist,song_title,song_image_url,release_year_songs,genre,language,streams_songs,weekly_gain_songs
4KWTAlx2RvbpseOGMEmROg,R.E.M.,Losing My Religion,https://i.scdn.co/image/ab67616d00004851e2dd4e821bcc3f70dc0c8ffd,1991,Alternative,English,1937555622,1064387
6vWDO969PvNqNYHIOW5v0m,Beyoncé,Halo,https://i.scdn.co/image/ab67616d00004851b4c5982e1b92f97a126fc18c,2008,Pop,English,1933050816,607480
4DdkRBBYG6Yk9Ka8tdJ9BW,Offset,Ric Flair Drip,https://i.scdn.co/image/ab67616d000048510db43130a9aaa7bae56967ed,2017,Hip-hop,English,1931596019,531963
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,Wildflower,https://i.scdn.co/image/ab67616d0000485171d62ea7ea8a5be92d3c1f62,2024,Alternative,English,1929169630,2210244
3AQRLZ9PuTAozP28Skbq8V,The Script,Hall Of Fame,https://i.scdn.co/image/ab67616d000048512e3049fef96abebf336b7366,2012,Pop,English,1927260153,692586
06HL4z0CvFAxyc27GXpf02,Taylor Swift,Cardigan,https://i.scdn.co/image/ab67616d0000485195f754318336a07e85ec59bc,2020,Folk,English,1927033206,823402
0LcJLqbBmaGUft1e9Mm8HV,ABBA,Dancing Queen,https://i.scdn.co/image/ab67616d0000485170f7a1b35d5165c85b95a0e0,1976,Pop,English,1924353203,967983
4Ga1P7PMIsmqEZqhYZQgDo,Lil Tecca,Ransom,https://i.scdn.co/image/ab67616d00004851bd69bbde4aeee723d6d08058,2019,Hip-hop,English,1919942252,592519
5K4W6rqBFWDnAN6FQUkS6x,Kanye West,Heartless,https://i.scdn.co/image/ab67616d00004851346d77e155d854735410ed18,2008,Hip-hop,English,1919585098,1111302
6jJ0s89eD6GaHleKKya26X,Katy Perry,Dark Horse,https://i.scdn.co/image/ab67616d000048511e9a057052d59004caf47e22,2013,Pop,English,1912743433,767903
6LuN9FCkKOj5PcnpouEgny,Khalid,Young Dumb & Broke,https://i.scdn.co/image/ab67616d00004851988ede5e1276e758b5f9e577,2017,R&B,English,1909986562,759513
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,Into You,https://i.scdn.co/image/ab67616d0000485133342c57a9b2c4e04c97b3f5,2016,Pop,English,1907607720,1071239
1uNFoZAHBGtllmzznpCI3s,Justin Bieber,Peaches,https://i.scdn.co/image/ab67616d00004851e6f407c7f3a0ec98845e4431,2021,R&B,English,1906625982,512964
0NKDgy9j66h3DLnN8qu1bB,Eurythmics,Sweet Dreams (Are Made of This),https://i.scdn.co/image/ab67616d00004851537c6843c6b64ba9d75ecbfc,1983,Alternative,English,1905016171,918973
1hzfo8twXdOegF3xireCYs,Milky Chance,Stolen Dance,https://i.scdn.co/image/ab67616d000048512001bc1b4dd82d06631fcb9e,2013,Alternative,English,1904131602,926162
246dkjvS1zLTtiykXe5h60,Post Malone,Wow.,https://i.scdn.co/image/ab67616d000048519478c87599550dd73bfa7e02,2018,Hip-hop,English,1899402643,315990
2wY79sveU1sp5g7SokKOiI,Sam Smith,Unholy,https://i.scdn.co/image/ab67616d0000485150a1691fbbfb693a5171d600,2022,Pop,English,1899198151,433555
15UsOTVnJzReFVN1VCnxy4,XXXTentacion,Everybody Dies In Their Nightmares,https://i.scdn.co/image/ab67616d00004851203c89bd4391468eea4cc3f5,2017,Hip-hop,English,1898418091,275213
20JZFwl6HVl6yg8a4H3ZqK,Panic! At The Disco,High Hopes,https://i.scdn.co/image/ab67616d00004851c5148520a59be191eea16989,2018,Pop,English,1896146572,549999
