rank,song,artist,image_url,spotify_id,streams_songs,weekly_gain_songs,year_songs,genre,language
127,Dákiti,Bad Bunny & Jhayco,https://i.scdn.co/image/ab67616d00004851005ee342f4eef2cc6e8436ab,4q3ewBCX7sLwd24euuV69X,2419570255,1069932,2020,Reggaeton,Spanish
128,Mockingbird,Eminem,https://i.scdn.co/image/ab67616d00004851726d48d93d02e1271774f023,7dGJo4pcD2V6oG8kP0tJRR,2412558505,1129725,2004,Hip-hop,English
129,We Found Love,Rihanna ft. Calvin Harris,https://i.scdn.co/image/ab67616d000048511c5eacf6965d328c2c795cef,5pKCCKE2ajJHZ9KAiaK11H,2411703839,1482517,2011,Electronic,English
130,Before You Go,Lewis Capaldi,https://i.scdn.co/image/ab67616d000048517b9639babbe96e25071ec1d4,4GNC7GD6oZMSxPGyXy4MNB,2410955126,679840,2019,Pop,English
131,Easy On Me,Adele,https://i.scdn.co/image/ab67616d00004851c6b577e4c4a6d326354a89f7,4dpARuHxo51G3z768sgnrY,2407256851,938893,2021,Pop,English
132,Pumped Up Kicks,Foster The People,https://i.scdn.co/image/ab67616d00004851121d5f92cf90576907dfb1e5,7gP3bB2nilZXLfPHJhMdvc,2406311498,907727,2010,Alternative,English
133,The Real Slim Shady,Eminem,https://i.scdn.co/image/ab67616d00004851dbb3dd82da45b7d7f31b1b42,7dGJo4pcD2V6oG8kP0tJRR,2405217666,920734,2000,Hip-hop,English
134,Attention,Charlie Puth,https://i.scdn.co/image/ab67616d00004851897f73256b9128a9d70eaf66,6VuMaDnrHyPL1p4EHjYLi7,2399588754,1165999,2017,Pop,English
135,Hips Don't Lie,Shakira ft. Wyclef Jean,https://i.scdn.co/image/ab67616d0000485127ddd747545c0d0cfe7595fa,0EmeFodog0BfCgMzAIvKQp,2383517278,1445329,2006,Pop,English
136,Somebody That I Used To Know,Gotye ft. Kimbra,https://i.scdn.co/image/ab67616d000048518ac5768205ad97df3f4f4c0e,2AsusXITU8P25dlRNhcAbG,2379790477,1098316,2011,Alternative,English
137,Another One Bites The Dust,Queen,https://i.scdn.co/image/ab67616d00004851a0eaac3fbe5e4a9d92360c59,1dfeR4HaWDbWqFHLkxsg1d,2378878007,829791,1980,Rock,English
138,I'm Yours,Jason Mraz,https://i.scdn.co/image/ab67616d0000485133091fbb40edc2249e682bf2,4phGZZrJZRo4ElhRtViYdl,2375189998,862821,2008,Pop,English
139,Blank Space,Taylor Swift,https://i.scdn.co/image/ab67616d000048519abdf14e6058bd3903686148,06HL4z0CvFAxyc27GXpf02,2371761224,997868,2014,Pop,English
140,Lose Control,Teddy Swims,https://i.scdn.co/image/ab67616d000048511a0323cc23419360a34a3ace,33qOK5uJ8AR2xuQQAhHump,2370400431,1777450,2023,Soul / Motown R&B,English
141,La Bachata,Manuel Turizo,https://i.scdn.co/image/ab67616d000048512a2cea2167b62a7822a48e6a,0tmwSHipWxN12fsoLcFU3B,2367598587,838675,2022,Tropical,Spanish
142,Call Out My Name,The Weeknd,https://i.scdn.co/image/ab67616d000048511f6a2a40bb692936879db730,1Xyo4u8uXC1ZmMpatF05PJ,2362221091,807422,2018,R&B,English
143,End Of Beginning,Djo,https://i.scdn.co/image/ab67616d00004851b06eabf1f19c0e82c5e82029,5p9HO3XC5P3BLxJs5Mtrhm,2355391677,4654955,2022,Alternative,English
