rank,artist,spotify_id,listeners,daily_change_listeners,peak_listeners
102,Gorillaz,3AA28KZvwAUcZuOKwyblJQ,42266162,164418,42877228
103,Hozier,2FXC3k01G6Gw61bmprjgqS,42258709,52298,57616097
104,Kesha,6LqNN22kT3074XbTVUrhzX,42173328,170183,51088856
105,The Police,5NGO30tJxFlKixkPSgXcFE,41965619,-104920,50538889
106,J. Cole,6l3HvQ5sa6mXTsMTB19rO5,41683396,-140135,48760887
107,Flo Rida,0jnsk9HBra6NMjO2oANoPY,41508097,74667,41508097
108,Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,40948035,10472,58879269
109,JAÅ¸-Z,3nFkdlSjzX9mRTtwJOzDYB,40738319,11466,40859134
110,Twenty One Pilots,3YQKmKGau1PzlVlkL1iodx,40709193,121144,40709193
111,Romeo Santos,5lwmRuXgjX8xIwlnauTZIP,40503596,18813,40825832
112,21 Savage,1URnnhqYAYcrqrcwql10ft,40179935,-50663,66771445
113,Disney,3xvaSlT4xsyk6lY1ESOspO,40052218,-27296,41028163
114,Tems,687cZJR45JO7jhk1LHIbgq,39694559,-16758,39775647
115,Akon,0z4gvV4rjIZ9wHck67ucSV,39397039,3620,40257041
116,Myke Towers,7iK8PXO48WeuP03g8YR51W,39129120,-75429,47235005
117,EJAE,0RMJOzHDhAKY1o2j0W0vxY,39090900,-160569,55600304
118,"Tyler, The Creator",4V8LLVI7PbaPR0K2TGSxFF,39004044,8285,52930766
119,Grupo Frontera,6XkjpgcEsYab502Vr1bBeW,38989074,-163386,39359637
120,Frank Ocean,2h93pZq0e7k5yf4dywlkpM,38622254,58393,38622254
121,Green Day,7oPftvlwr6VrsViSDV7fJY,38581488,-37905,38619393
122,Kali Uchis,1U1el3k54VvEUzo3ybLPlM,38489436,-82366,48511206
123,REI AMI,6U1dV7aL68N7Gb0Naq34V5,38389333,-153294,55202504
124,JHAYCO,6nVcHLIgY5pE2YCl8ubca1,38311272,-243503,38717830
125,Feid,2LRoIwlKmHjgvigdNGBHNo,38221256,-176688,46407503
126,Nicky Jam,1SupJlEpv7RS2tPNRaHViT,37951217,-5964,37978413
127,ABBA,0LcJLqbBmaGUft1e9Mm8HV,37943195,7951,45956945
128,HUNTR/X,2yNNYQBChuox9A5Ka93BIn,37811910,-157519,54529976
129,Swae Lee,1zNqQNIdeOUZHb8zbZRFMX,37657397,18854,47431521
130,Anitta,7FNnA9vBm6EKceENgCGRMb,37640402,-68073,45678504
131,AUDREY NUNA,0Wwji82sLA0Hcvtuak3omb,37447791,-142343,54291080
132,BeÃ©le,7a0XAaPaK2aDSqa8p3QnC7,37395097,-792,39921365
133,Avicii,1vCWHaC5f2uS3yhpwWbIA6,37170977,-7670,43468577
134,Empire Of The Sun,67hb7towEyKvt5Z8Bx306c,37083284,174130,37083284
135,Alicia Keys,3DiDSECUqqY1AuBP8qtaIa,37082143,29136,37082143
136,Cardi B,4kYSro6naA4h99UJvo89HB,37051381,-116082,38247799
137,Nirvana,6olE6TJLqED3rqDCT0FyPh,36966558,-55832,37022390
138,The MarÃ­as,2sSGPbdZJkaSE2AbcGOACx,36872613,-157998,38403726
139,Ty Dolla $ign,7c0XG5cIJTrrAgEC3ULPiq,36828344,-30016,52532512
140,Gracie Abrams,4tuJ0bMpJh08umKkEXKUI5,36765593,-30571,51497815
141,AC/DC,711MCceyCBcFnzjGY4Q7Un,36765402,-51673,40609655
142,Irshad Kamil,3GdSQUH1BRtl9UrrtuwJlP,36264354,-156316,38606762
143,PinkPantheress,78rUTD7y6Cy67W1RVzYs7t,36219712,477079,39844680
144,The Goo Goo Dolls,2sil8z5kiy4r76CRTXxBCA,36075861,23828,38486480
145,Manuel Turizo,0tmwSHipWxN12fsoLcFU3B,35874064,20300,39587171
146,Tyla,3SozjO3Lat463tQICI9LcE,35757907,-117998,46584665
147,P!nk,1KCSPY1glIKqW2TotWuXOR,35604741,64004,37814655
148,Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb,35261166,104928,49496274
149,Guns N' Roses,3qm84nBOXUEQ2vnTfUTTFC,35155719,-7107,36387862
150,The Kid LAROI,2tIP7SsRs7vjIcLrU85W8J,35145685,-41416,46982806
151,Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz,35102770,-20556,39580515
152,Charli xcx,25uiPmTg16RbhZWAqwLBy5,35095160,141996,46491335
153,Chappell Roan,7GlBOeep6PqTfFi59PTUUN,35028011,-68911,47355595
154,Pharrell Williams,2RdwBSPQiwcmiDo9kixcl8,34935877,8773,41485126
155,TiÃ«sto,2o5jDhtHVPhrJdv3cEQ99Z,34925067,14409,53621311
156,Ovy On The Drums,3m5qlPf2OkihLz3dRYnkPA,34884200,-88475,38983123
157,Dominic Fike,6USv9qhCn6zfxlBQIYJ9qs,34842426,644773,34842426
158,Sachin-Jigar,1mBydYMVBECdDmMfE2sEUO,34822398,-185610,37524496
159,The Beatles,3WrFJ7ztbogyGnTHbHJFl2,34607446,18844,37399629
160,Udit Narayan,70B80Lwx2sxti0M1Ng9e8K,34545001,-127485,35471807
161,Diplo,5fMUXHkw8R8eOP2RNVYEZX,34458050,50629,35979312
162,XXXTENTACION,15UsOTVnJzReFVN1VCnxy4,34418173,-19576,42898057
163,Enrique Iglesias,7qG3b048QCHVRO5Pv1T5lw,34344981,56482,35272755
164,Tainy,0GM7qgcRCORpGnfcN2tCiB,33960754,-210976,35233699
165,Nelly Furtado,2jw70GZXlAI8QzWeY2bgRc,33928657,87479,34576866
166,Omar Courtz,3E12tRURRvPfHz0hAMCFYc,33833290,-312243,34380610
167,Demi Lovato,6S2OmqARrzebs0tKUEyXyp,33777423,34005,33777423
168,Gunna,2hlmm7s2ICUX0LVIhVFlZQ,33735830,-28244,43236433
169,ROSALÃA,7ltDVBr6mKbRvohxheJ9h1,33294788,-104837,46715627
170,Chencho Corleone,37230BxxYs9ksS7OkZw3IU,33063719,-322226,33561627
171,Snoop Dogg,7hJcb9fa4alzcOq3EaNPoG,32884562,-38772,34236028
172,Paramore,74XFHRwlV6OrjEM0A2NCMF,32807457,-14546,32822003
173,Mariah Carey,4iHNK0tOyZPYnBU7nGAgpQ,32416103,20247,103891529
174,Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,32312940,34583,46385773
175,Vishal-Shekhar,6Mv8GjQa7LKUGCAqa9qqdb,32295642,-202209,36364096
176,Amitabh Bhattacharya,2fMqTqiTxUDlmcOEPaQSsx,32247559,-38654,34839915
177,Metallica,2ye2Wgw4gimLv2eAKyk1NB,32040125,7704,32301887
178,ArcÃ¡ngel,4SsVbpTthjScTS7U2hmr1X,32036495,-24149,32070687
179,Major Lazer,738wLrAtLtCtFOLvQBXOXp,31955394,-10017,34433525
180,Clean Bandit,6MDME20pz9RveH9rEXvrOM,31913449,24420,31913449
181,Creedence Clearwater Revival,3IYUhFvPQItj6xySrBmZkd,31906901,179322,38637577
182,KATSEYE,3c0gDdb9lhnHGFtP4prQpn,31891851,-168839,37409058
183,Mac Miller,4LLpKhyESsyAXpc4laK94U,31848533,65917,31848533
184,Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,31791757,67574,39483073
185,Bon Jovi,58lV9VcRSjABbAbfWS6skp,31693270,28107,32085650
186,The Killers,0C0XlULifJtAgn6ZNCW2eu,31683242,53816,31683242
187,Jennifer Lopez,2DlGxzQSjYe5N6G9nkYghR,31498726,115554,32479970
188,Billy Joel,6zFYqv1mOsgBRQbae3JJ9e,31228793,52323,33693164
189,Tinashe,0NIIxcxNHmOoyBx03SfTCD,31156768,-8646,36041690
190,Anne-Marie,1zNqDE7qDGCsyzJwohVaoX,31062763,-19284,41501481
191,Junior H,7Gi6gjaWy3DxyilpF1a8Is,31015593,36889,31015593
192,Cigarettes After Sex,1QAJqy2dA3ihHBFIHRphZj,30877748,-128537,36545463
193,Christina Aguilera,1l7ZsJRRS8wlW3WfJfPfNS,30877705,87660,34034008
194,Tanishk Bagchi,4f7KfxeHq9BiylGmyXepGt,30834149,-155048,38964620
195,Lil Baby,5f7VJjfbwm532GiveGC0ZK,30804654,-51818,41194598
196,Bizarrap,716NhGYqD1jl2wI1Qkgq36,30637890,-54621,54300662
197,Mark Ronson,3hv9jJF3adDNsBSIQDqcjp,30609747,41294,32768567
198,Shankar Mahadevan,1SJOL9HJ08YOn92lFcYf8a,30427346,-107893,31314287
199,Ryan Castro,7j6DKwmjbxvpQO8h914uEz,30357537,102138,30357537
200,James Arthur,4IWBUUAFIplrNtaOHcJPRM,30217618,14309,40276141
201,Danny Ocean,5H1nN1SzW0qNeUEZvuXjAj,30177845,16102,30187867
202,Dave,6Ip8FS7vWT1uKkJSweANQK,30115160,134836,30115160
203,Atif Aslam,2oSONSC9zQ4UonDKnLqksx,30114369,-170507,31946930
204,Cris MJ,1Yj5Xey7kTwvZla8sqdsdE,30111575,11312,49896640
205,Kodak Black,46SHBwWsqBkxI7EeeBEQG7,30068853,9474,33708388
206,Childish Gambino,73sIBHcqh3Z3NyqHKZ7FOL,29993037,18744,30712179
207,Neton Vega,6pV5zH2LzjOUHaAvENdMMa,29913251,-18473,32724601
208,ZAYN,5ZsFI1h6hIdQRw2ti0hz81,29878065,-171233,36072526
209,Ãengo Flow,12vb80Km0Ew53ABfJOepVz,29849029,75300,29849029
210,Jason Derulo,07YZf4WDAMNwqr4jfgOZ8y,29836549,58975,39368590
211,Mithoon,09UmIX92EUH9hAK4bxvHx6,29791614,-201944,32837399
212,Tom Odell,2txHhyCwHjUEpJjWrEyqyX,29539852,72296,38447142
213,ROSÃ,3eVa5w3URK5duf6eyVDbu9,29531224,-86338,71124800
214,Young Thug,50co4Is1HCEo8bhOyUWKpn,29481578,7751,33656406
215,Noah Kahan,2RQXRUsr4IW1f3mKyKsy4B,29276174,-101473,37900933
216,Joji,3MZsBdqDrRTJihTHQrO6Dq,29265354,-164746,30286097
217,Dei V,2YRyPiW98bpkARAS4B3OQP,29252871,-489780,30795673
218,Phil Collins,4lxfqrEsLX6N1N4OCSkILp,29205297,-15587,29299257
219,Quevedo,52iwsT98xCoGgiGntTiR7K,29197758,-58365,38182790
220,Miguel,360IAlyVv4PCEVjgyMZrxK,29177480,90668,34144669
221,PARTYNEXTDOOR,2HPaUgqeutzr3jx5a9WyDV,29072489,-13079,38820076
